========================================
General Configuration:
	Wighting: MoDo
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
MoDo Configuration:
	weighting: MoDo
	gamma_modo: 1.0
	rho_modo: 0.01
	modo_gn: none
Optimizer Configuration:
	optim: adam
	lr: 0.0001
	weight_decay: 1e-05
========================================
Total Params: 11487901
Trainable Params: 11487901
Non-trainable Params: 0
========================================
LOG FORMAT | amazon_LOSS Acc | dslr_LOSS Acc | webcam_LOSS Acc | TIME
Epoch: 0000 | TRAIN: 2.4081 0.4597 | 1.7770 0.7350 | 2.1224 0.5712 | Time: 117.6252 | VAL: 1.8379 0.7192 | 1.3037 0.9326 | 1.2254 0.8792 | Time: 2.3851 | TEST: 1.8327 0.7299 | 1.3250 0.8852 | 1.2819 0.9111 | Time: 2.8303
Epoch: 0001 | TRAIN: 1.4707 0.7617 | 0.5018 0.9958 | 0.5330 0.9910 | Time: 117.0625 | VAL: 1.3270 0.7736 | 0.6559 1.0000 | 0.7366 0.9597 | Time: 2.3928 | TEST: 1.3382 0.7795 | 0.7393 0.9344 | 0.8317 0.9611 | Time: 2.8726
Epoch: 0002 | TRAIN: 0.9269 0.8642 | 0.1945 1.0000 | 0.2492 1.0000 | Time: 117.0065 | VAL: 1.1151 0.8080 | 0.4265 1.0000 | 0.5581 0.9732 | Time: 2.3898 | TEST: 1.1382 0.8103 | 0.5280 0.9672 | 0.6415 0.9611 | Time: 2.8282
Epoch: 0003 | TRAIN: 0.6686 0.9159 | 0.0910 1.0000 | 0.1531 1.0000 | Time: 116.9642 | VAL: 1.0030 0.8297 | 0.3599 1.0000 | 0.4652 0.9799 | Time: 2.4238 | TEST: 1.0285 0.8188 | 0.4579 0.9590 | 0.5473 0.9611 | Time: 2.8696
Epoch: 0004 | TRAIN: 0.5167 0.9447 | 0.0618 1.0000 | 0.1008 1.0000 | Time: 116.7692 | VAL: 0.9765 0.8297 | 0.3089 1.0000 | 0.3796 0.9799 | Time: 2.3861 | TEST: 1.0041 0.8342 | 0.3922 0.9754 | 0.4641 0.9611 | Time: 2.8310
Epoch: 0005 | TRAIN: 0.4350 0.9594 | 0.0426 1.0000 | 0.0743 1.0000 | Time: 116.6874 | VAL: 0.9283 0.8351 | 0.2751 1.0000 | 0.3489 0.9732 | Time: 2.3808 | TEST: 0.9529 0.8376 | 0.3731 0.9590 | 0.4248 0.9667 | Time: 2.8427
Epoch: 0006 | TRAIN: 0.3754 0.9684 | 0.0328 1.0000 | 0.0523 1.0000 | Time: 116.9089 | VAL: 0.9223 0.8388 | 0.2597 1.0000 | 0.3269 0.9799 | Time: 2.3959 | TEST: 0.9499 0.8308 | 0.3627 0.9672 | 0.4066 0.9667 | Time: 2.8883
Epoch: 0007 | TRAIN: 0.3125 0.9766 | 0.0278 1.0000 | 0.0433 1.0000 | Time: 116.8223 | VAL: 0.8732 0.8351 | 0.2340 1.0000 | 0.2935 0.9799 | Time: 2.4100 | TEST: 0.8963 0.8376 | 0.3409 0.9754 | 0.3622 0.9667 | Time: 2.8711
Epoch: 0008 | TRAIN: 0.2661 0.9820 | 0.0224 1.0000 | 0.0353 1.0000 | Time: 117.3921 | VAL: 0.8393 0.8496 | 0.2469 1.0000 | 0.2746 0.9799 | Time: 2.4051 | TEST: 0.8637 0.8359 | 0.3436 0.9754 | 0.3438 0.9667 | Time: 2.8589
Epoch: 0009 | TRAIN: 0.2144 0.9895 | 0.0201 1.0000 | 0.0285 1.0000 | Time: 117.1220 | VAL: 0.8215 0.8478 | 0.2529 1.0000 | 0.2553 0.9799 | Time: 2.3588 | TEST: 0.8349 0.8376 | 0.3388 0.9754 | 0.3232 0.9722 | Time: 2.8170
Epoch: 0010 | TRAIN: 0.1747 0.9928 | 0.0177 1.0000 | 0.0235 1.0000 | Time: 116.8661 | VAL: 0.8048 0.8496 | 0.2400 1.0000 | 0.2475 0.9799 | Time: 2.3829 | TEST: 0.8175 0.8359 | 0.3428 0.9754 | 0.3149 0.9611 | Time: 2.8187
Epoch: 0011 | TRAIN: 0.1446 0.9967 | 0.0160 1.0000 | 0.0198 1.0000 | Time: 117.0512 | VAL: 0.7779 0.8424 | 0.2404 1.0000 | 0.2320 0.9799 | Time: 2.4370 | TEST: 0.7957 0.8342 | 0.3392 0.9754 | 0.3008 0.9722 | Time: 2.8363
Epoch: 0012 | TRAIN: 0.1228 0.9973 | 0.0140 1.0000 | 0.0160 1.0000 | Time: 117.4161 | VAL: 0.7761 0.8370 | 0.2377 1.0000 | 0.2199 0.9799 | Time: 2.4767 | TEST: 0.7896 0.8393 | 0.3338 0.9672 | 0.2986 0.9722 | Time: 2.8538
Epoch: 0013 | TRAIN: 0.0988 0.9991 | 0.0122 1.0000 | 0.0152 1.0000 | Time: 117.2233 | VAL: 0.7503 0.8424 | 0.2382 1.0000 | 0.2189 0.9799 | Time: 2.3759 | TEST: 0.7596 0.8393 | 0.3344 0.9754 | 0.2929 0.9667 | Time: 2.8369
Epoch: 0014 | TRAIN: 0.0821 0.9997 | 0.0111 1.0000 | 0.0134 1.0000 | Time: 116.6426 | VAL: 0.7312 0.8533 | 0.2394 1.0000 | 0.2003 0.9732 | Time: 2.4217 | TEST: 0.7436 0.8410 | 0.3315 0.9754 | 0.2697 0.9667 | Time: 2.8278
Epoch: 0015 | TRAIN: 0.0660 1.0000 | 0.0109 1.0000 | 0.0122 1.0000 | Time: 116.9273 | VAL: 0.7211 0.8514 | 0.2418 1.0000 | 0.2055 0.9799 | Time: 2.4205 | TEST: 0.7338 0.8393 | 0.3298 0.9754 | 0.2823 0.9667 | Time: 2.8473
Epoch: 0016 | TRAIN: 0.0497 0.9997 | 0.0098 1.0000 | 0.0103 1.0000 | Time: 117.3399 | VAL: 0.7006 0.8551 | 0.2361 1.0000 | 0.1907 0.9866 | Time: 2.3612 | TEST: 0.7175 0.8359 | 0.3286 0.9754 | 0.2697 0.9667 | Time: 2.8478
Epoch: 0017 | TRAIN: 0.0389 1.0000 | 0.0092 1.0000 | 0.0098 1.0000 | Time: 117.3406 | VAL: 0.6961 0.8514 | 0.2478 1.0000 | 0.1960 0.9799 | Time: 2.4327 | TEST: 0.7006 0.8376 | 0.3398 0.9754 | 0.2755 0.9722 | Time: 2.8607
